username,accDesc,location,following,followers,totaltweets,usercreated,tweetcreated,retweetcount,favoritecount,text,tweetsource,hashtags
Syida101,"25 | MD, UPM | 🇲🇾",Penang ,491.0,490.0,56264.0,2010-10-13 13:34:29,2020-11-04 10:36:53,0.0,0.0,"UMNO/Bersatu/PAS supporter rooting for biden/harris 🤭🙊

who’s gonna tell them that muhyiddin is worse than Trump",Twitter for iPhone,[]
RareTulap,"Selenator|Avatar|probably Megatron|not affiliated with Swifties but likes Tay music much very.
Making stan twitter pressed cuz it's fun
I am nice
He/Him whateve",,49.0,56.0,7508.0,2018-05-04 16:06:26,2020-11-04 10:36:53,0.0,0.0,@sideaheaven i wanna know how come my TL got political and i see both biden and trump supporters and i really don't know what's going on 🤡,Twitter Web App,[]
KathleenRMC1,"RN. Opinions are my own. My blood type is Dark Roast. Lifelong member of the human race. 
No Direct Messaging, please.
I interact with people and learn stuff.",,658.0,665.0,15033.0,2020-03-15 17:50:26,2020-11-04 10:36:53,0.0,0.0,"@sharkyrae A couple of weeks ago, political analysts said that bc GOP-ers vote in person, at first it will look like Trump is winning. But votes still need to be counted.",Twitter Web App,[]
nunukhumalo,,,82.0,97.0,1745.0,2012-09-29 13:17:03,2020-11-04 10:36:53,0.0,0.0,@mixxpazzi @sthembete And the Americans secretly love that about him hence they say one thing in public and do the other on a voting day Trump will will his 2nd term,Twitter for Android,[]
mrbenn27,"Teacher, lefty, traveller, cynic, music fan and grumpy man. Used to be President of something or other. All views my own - I think.",Glasgow,2290.0,860.0,11713.0,2011-03-24 22:05:44,2020-11-04 10:36:52,0.0,0.0,@GaryLineker I hope Diana Ross is taking one of Trump's... https://t.co/sWdAEWzQrH,Twitter for Android,[]
bibhu_purohit,Humanity first,"Gurgaon, India",16.0,8.0,55.0,2017-01-29 20:29:18,2020-11-04 10:36:52,0.0,0.0,Congratulations @realDonaldTrump,Twitter for Android,[]
Braepil,Drummer for Hire. Wrestling Nerd. Camp Counsellor. Dog Dude. Memorial University Graduate. Bad at putting thoughts into words.,"Newfoundland, Canada",230.0,242.0,3454.0,2010-08-05 12:56:15,2020-11-04 10:36:52,0.0,0.0,I’ve almost raised as much money for Movemeber as Trump paid in taxes #AmericaVotes2020,Twitter for iPhone,"[{'text': 'AmericaVotes2020', 'indices': [70, 87]}]"
Josh20Left,"22. Mostly replies and retweets.
Market/Democratic Socialist.
Social Democracy is also kinda cool.

Marxism has useful sociological and historical analysis.","Lewes, DE",988.0,342.0,15281.0,2018-07-23 07:55:33,2020-11-04 10:36:52,0.0,0.0,"@brownone585 @USPoliticsPoll Cry more.
You're guy was supposed to be the safe pick and crush Donald Trump, but he's barely squeaking a victory buy and he might not win the Senate. Congratulations on 4 years of lameduck Biden.",Twitter Web App,[]
KatelynKalajzic,An old soul,"Perth, Western Australia",117.0,143.0,670.0,2014-09-19 02:18:21,2020-11-04 10:36:52,0.0,0.0,"Whatever the final outcome is here, Trump has staged potentially the biggest resurgence in American presidential history considering hugely inaccurate polls and literally every established institution and social media platform having undeniable bias towards Biden #Election2020",Twitter for Android,"[{'text': 'Election2020', 'indices': [264, 277]}]"
everytimedrew,“nice to meet you”,,678.0,390.0,3928.0,2018-05-18 18:41:32,2020-11-04 10:36:52,0.0,0.0,Shut thw fuck up trump https://t.co/Verubfx4RH,Twitter for iPhone,[]
EfeSaidSo,"I'm an Anarcho-Communist effectively utilizing girl power by funneling money to illegal paramilitary death squads in Northern Ireland.

he/him",North Carolina (soon),265.0,614.0,14097.0,2020-05-29 22:31:26,2020-11-04 10:36:52,0.0,0.0,@RussTheGreat2 @JoseWithOranges ion fuck with biden either but i wouldnt vote trump for that reason,Twitter Web App,[]
critworld2020,Old Wise Man,Higher Level,1.0,34.0,13107.0,2019-01-01 06:27:40,2020-11-04 10:36:52,0.0,0.0,@MiriamSafta Michigan 80% counted. Trump up by 5%. I don't know ratio of mail-in. https://t.co/pgEfnHGC1T,Twitter for Android,[]
PavanBalayya,#NCBN 🚲 | #JaiBalayya 🦁 | #Prabhas🐆| @tarak9999 🐅| #MechanicalEngineering⚙️| #SRH🧡,భారతదేశం 🇮🇳,88.0,5446.0,52210.0,2013-11-11 18:52:48,2020-11-04 10:36:52,0.0,0.0,"🤣🤣🤭🤭🤭
last 2 lines 

#USAElections2020 #USElection2020 #Elections2020   #Election2020   #ElectionNight  
#DonaldTrump #JoeBiden #AmericaDecides2020 https://t.co/yKRjUXQZgR",Twitter for iPhone,"[{'text': 'USAElections2020', 'indices': [21, 38]}, {'text': 'USElection2020', 'indices': [39, 54]}, {'text': 'Elections2020', 'indices': [55, 69]}, {'text': 'Election2020', 'indices': [72, 85]}, {'text': 'ElectionNight', 'indices': [88, 102]}, {'text': 'DonaldTrump', 'indices': [105, 117]}, {'text': 'JoeBiden', 'indices': [118, 127]}, {'text': 'AmericaDecides2020', 'indices': [128, 147]}]"
Veronstein,"""The truth is incontrovertible....in the end, there it is"" W Churchill",Albany NY,427.0,163.0,4076.0,2020-04-06 03:04:47,2020-11-04 10:36:52,0.0,0.0,"@RLEsq @NPR I know! it's driving me crazy. Somebody wrote today that ""Trump even took advantage of women by having non consensual Sex with them""
I wrote back to her. How about calling it what it is?
Rape.",Twitter for iPhone,[]
TenLetters100,TAX = THEFT ?,RETAILAND,83.0,61.0,7247.0,2017-06-04 04:40:51,2020-11-04 10:36:52,0.0,0.0,"@NickTheTHICC I've heard of a possible red shift. This is what we know SO FAR. If the most of the light red states remain red (especially PA and/or MI), Trump wins.

I doubt this factors mail-ins... but they shouldn't affect things too much in my opinion. https://t.co/T3ecrdIvJm",Twitter for iPhone,[]
BenNiedelman,"Bespoke Wine Guru, Avid Reader & Armchair Political Junkie in the Big Apple. God Bless 🇺🇸, In Vino Veritas","New York, NY",2144.0,252.0,11991.0,2016-09-10 15:54:02,2020-11-04 10:36:52,0.0,0.0,"@sppeoples Did Trump*WIN*?

Because if not, you need to delete this Very Bad Tweet.",Twitter for Android,[]
iamfarrffy,im jst a big dreamer who likes having fun and satisfying my heart with what i dream about,,712.0,406.0,2714.0,2016-01-09 23:14:07,2020-11-04 10:36:52,0.0,0.0,@BlessingPMP @Mathuthu Some say Trump is Winning! What's really happening there?,Twitter for Android,[]
harisofficial34,,"İstanbul, Türkiye",74.0,16.0,198.0,2014-01-01 00:31:06,2020-11-04 10:36:52,0.0,0.0,"@realDonaldTrump Congratulations Mr. President @realDonaldTrump. No matter who Germans or Europeans want to be presidents in the #USA, interfere, try to influence the opinion of the US population, they too will have to learn that only the US citizens decide! https://t.co/JfroeHusIj",Twitter for Android,"[{'text': 'USA', 'indices': [129, 133]}]"
P1SSDUMPSTeR,Jade/69yearsold/bisexy🤩/exclusionist/mario and ness main in ult/link main in melee/DK and Falcon main in brawl,im a tranny🤪,1072.0,281.0,9519.0,2019-04-16 19:17:42,2020-11-04 10:36:52,0.0,0.0,@Canadian_NL @Twitter @realDonaldTrump They arent stealing the election. Its called voting. Apparently orange man didnt get the ampunt of votes he needs to win right now.,Twitter for Android,[]
CarrieOther,,,1003.0,559.0,6799.0,2018-12-07 20:56:30,2020-11-04 10:36:52,0.0,0.0,"@ElijahSchaffer @mamalokey trump obvi, but those who were such ignorant fools are the biggest losers.  However, regardless who wins, fool trumpettes are still the biggest losers when they would willfully support such a destructive con man",Twitter Web App,[]
chammy_255,"Baba Shark | Simp | Nyerere Apologist | (He/Him)
#JusticeForShukriAbdi #EndSARS",Kwetu,878.0,1500.0,19711.0,2009-10-28 20:41:20,2020-11-04 10:36:52,0.0,0.0,"@YassinStunner @rastaflani But also, Trump's body count outside of the US is not as high as his predecessors. So watu wanasema Trump is a safer option for the rest of the world in terms of conflict because jeshi la Marekani limepunguza mashambulizi yake in a lot of countries. So yes, it does matter to us.",Twitter for Android,[]
vegix,"""Happiness will never come to those who fail to appreciate what they already have.""

— Buddha 🧘🏽‍ 禅

#BlackLivesMatter #ClimateAction #Progressive🕊️ #Vegan🌱",🔥🌎🔥,24009.0,53044.0,92683.0,2010-07-19 01:23:02,2020-11-04 10:36:52,0.0,0.0,"See right through the red, white, and blue disguise.

What Trump said this morning was no surprise.

All the republicans do is spread lies.

But they underestimate our ability to rise.

Every single one of these fascists is in for a big surprise.",Twitter Web App,[]
gridirondawg,"MSU sports, Dallas Cowboys, fishing#",Bulldog Country,386.0,729.0,25415.0,2011-05-21 16:14:45,2020-11-04 10:36:52,0.0,0.0,So Trump was on his way to winning the election and Democrats decided to stop counting ballots last night!  You can’t make this stuff up.,Twitter for iPhone,[]
jim_haack,"Love star wars, star trek, super hero, horror, sci fi, fantasy, and animated and anime movies/tv shows/books/comics, playing chess, video games.",Wisconsin USA,956.0,127.0,5751.0,2012-01-29 20:35:21,2020-11-04 10:36:52,0.0,0.0,@realDonaldTrump lying to the end,Twitter Web App,[]
charliepaulson,"seriously, what the fuck?",los angeles,505.0,1347.0,8111.0,2009-12-28 03:39:41,2020-11-04 10:36:51,0.0,0.0,@beckibourbage @DEADLINE Say literally all of this to trump.,Twitter for iPhone,[]
mrjordanjames_,"Journalist, Founder and Editor-In-Chief of @politicalite | Send me tips.. jordan@politicalite.com | views my own.","England, United Kingdom",2705.0,3918.0,12787.0,2013-05-15 16:51:11,2020-11-04 10:36:51,0.0,0.0,"Trump has the codes to the nukes. He is therefore de facto Supreme Leader of America, Forever. Deal with it Snowflakes. #FourMoreYears https://t.co/FQ2Jay1fTF",Twitter for iPhone,"[{'text': 'FourMoreYears', 'indices': [120, 134]}]"
OctobreLeraisin,*laughs*,,1424.0,51.0,457.0,2020-07-15 15:20:02,2020-11-04 10:36:51,0.0,0.0,"@cioccolanti @drmikemurdock BARRON TRUMP IS TRYING TO STEAL THE ELECTION FOR THE DEMS, IN EXCHANGE FOR GROWTH HORMONES SO HE CAN OVERPOWER HIS FATHER AND STEAL MELANIA.",Twitter Web App,[]
1984Marxist,"Former Westminster insider. Once you’ve been inside the belly of the beast, you have two choices: conform to barbarism or fight for socialism.","England, United Kingdom",1501.0,1876.0,29817.0,2017-02-23 08:53:36,2020-11-04 10:36:51,0.0,0.0,@JamesMills1984 Why did you believe those polls? It was obvious to anyone who knows how Trump has campaigned in this election that it would be close.,Twitter for iPhone,[]
Jonahkingsley13,"Media marketer, producer, consultants @DAAR COMMUNICATION PLC.
MNIM, PGD In Advertising And Public Relations.","Abuja, Nigeria",337.0,149.0,2675.0,2019-03-15 12:43:20,2020-11-04 10:36:51,0.0,0.0,@MrOdanz Keep hope alive. @realDonaldTrump is winning it.,Twitter for Android,[]
sunsetonlyfan,I cant anymore,ranked competitive sex player,471.0,296.0,11381.0,2020-02-21 08:50:42,2020-11-04 10:36:51,0.0,0.0,"@CHASETHEBUSSY Nah I read u correctly I think, I cant stand any trump tweet anymkre",Twitter for Android,[]
Landie71,The best part of me ended up a dirty stain on the NHS sheets. Proud to be a Scot. Proud member of the SNP. Proud to be a European. Swear and curse when angered.,"Saline, Dunfermline, Scotland",693.0,486.0,3180.0,2014-02-09 02:11:04,2020-11-04 10:36:51,0.0,0.0,"@IanMaher7 @AudreyMarks19 Trump supporter Farage gets to stay there for free. 
Hope the chef jizzed on his eggs benedict this morning.....
😛😜",Twitter for Android,[]
stehanna26,"Digital Marketing Specialist. Passionate about all things digital, social media & marketing - oh & food. Dubliner - living in London.","London, England ",4140.0,2715.0,13265.0,2009-03-16 00:55:59,2020-11-04 10:36:51,0.0,0.0,Ah here! Trump falsely claims win and brands election a 'fraud' via @RTENews https://t.co/FlzMLJxLbo,Twitter for iPhone,[]
DumeSingh,a trade-off exists; a free rider problem; a free rider opportunity.,"Pate (Lamu archipelago),Kenya.",795.0,4212.0,33619.0,2017-10-17 10:41:26,2020-11-04 10:36:51,0.0,0.0,"In an oligarchic system, there are few better predictors of how a president will govern than where they got their money, QUIPS Branko Marcetic.
https://t.co/nKo5fyh1k9 via @jacobinmag",Twitter for Android,[]
egtgawa,,,119.0,159.0,28248.0,2011-02-24 19:04:28,2020-11-04 10:36:51,0.0,0.0,never did i anticipate such a close call with the votes. i fully expected trump to win comfortably tbh id have put money on it,Twitter for Android,[]
JonnyDrama946,,,25.0,2.0,169.0,2018-01-25 13:59:25,2020-11-04 10:36:51,0.0,0.0,@valuebettin @Roto_Wizard @NateSilver538 Green Bay and Wash counties who have leaned Trump thus far. It should be interesting https://t.co/7toiOY2TvL,Twitter for iPhone,[]
TarimNadir,,,1.0,0.0,2.0,2020-11-04 10:30:37,2020-11-04 10:36:51,0.0,0.0,"@realDonaldTrump I support you, I hope you win the presidency. If I were an American citizen, I'd vote for you... I believe the American people will choose you",Twitter Web App,[]
Geez_a_diamond3,"ISLAM WILL BE DISCUSSED/DEBATED/MOCKED/REVERED/FOLLOWED/
IGNORED - LIKE ANY OTHER RELIGION

 Supports 'Passer-by'👊👍",UK,467.0,437.0,19197.0,2020-03-18 14:51:15,2020-11-04 10:36:51,0.0,0.0,@DMADave @sarahwollaston @realDonaldTrump Landslide - one would imagine.,Twitter for Android,[]
futzskull,"MooGee with a hard G.
I grow on people. A curmudgeon born with one foot in my mouth; the other in someone's ass!😀
(Old Timer on Twitter)","Florida, USA",411.0,35.0,687.0,2020-10-16 20:33:20,2020-11-04 10:36:51,0.0,0.0,"AP didn't factor in 300,000 ballots sitting in the #MiamiDadeUSPS
""With 96% of the expected vote counted, Trump led Biden by 375,000 votes. The remaining uncounted vote in Dem-leaning areas of the state was not enough to overcome Trump’s lead of about 3%. https://t.co/eqAK5BpkdM",Twitter for Android,"[{'text': 'MiamiDadeUSPS', 'indices': [51, 65]}]"
CatTassinari,Mother Grandmother Trump is the antichrist. I love all animals. #resist #resistance #menagainsttoxicity #fbr,"Pocasset, MA",15423.0,16801.0,59024.0,2019-01-29 22:54:48,2020-11-04 10:36:51,0.0,0.0,@pgiubilo @Maddog4Biden What is it with Trump and walls?🤣😂🤣😂🤣😂🤣😂,Twitter for Android,[]
EddieGoToBeddie,,,79.0,2.0,114.0,2013-02-19 15:15:05,2020-11-04 10:36:51,0.0,0.0,@TrevinF1998 @nicoeramirez @KEEMSTAR If that’s true then why did America get voted to Trump in 2016 when there was  2.8 million votes in favor of Hillary? Clearly “everyone’s” voices aren’t heard,Twitter for Android,[]
proudshep,"https://t.co/IEQrmcJAJ9
Youtube: proudshep
Shiny hunting is cool I guess
Twitch affiliate 23-06-2020 :-)
19",,207.0,232.0,1425.0,2020-06-15 08:08:42,2020-11-04 10:36:51,0.0,0.0,"why are people saying 'oh trump is gonna win' or 'oh biden is gonna win' such idiots, greg is winning, tf you mean??? https://t.co/1FLA3tK3EX",Twitter Web App,[]
Atis_TM,I believe power belongs to the people and that Arsenal is the best football team in the world. Engineer || Digital Marketer(Google Certified) || Messi FC. #COYG,"Bayelsa, Nigeria",5476.0,5338.0,64585.0,2013-10-01 15:22:13,2020-11-04 10:36:50,0.0,0.0,"@hon_ags @Viqforlan It is possible it happens, the rest counties to be counted are majorly Trump’s strongholds but for absentee ballots",Twitter for iPhone,[]
billybop43,"parachute regiment soldier f , ""Utrinque Paratus"", Glasgow rangers, the UK 🇬🇧, Off he went with a trumpety trump ..trump... trump..trump 👍 #nolockdown2","Northern Ireland, United Kingdom",1469.0,1125.0,13309.0,2012-06-22 10:30:46,2020-11-04 10:36:50,0.0,0.0,@impongo22 @realDonaldTrump @Twitter No they're blocking some of his tweets https://t.co/7YG57g8EoA,Twitter for iPhone,[]
_TR0UVAILLE,👩‍👧 | 👼🏾💌🎈,"Jacksonville, FL",6375.0,9195.0,37784.0,2012-06-01 04:38:10,2020-11-04 10:36:50,0.0,0.0,Y’all think Trump gone win?,Twitter for iPhone,[]
marged_elen8,"Sims lover 🌸 Sims 2, 3 & 4 🌸 Autistic 🌸 Awkward person 🌸 Minor 🌸 She/her 🌸 favourite simmers ever are @fantayziayt 🦄 & @plumbellayt 💜","Wales, United Kingdom",672.0,477.0,9903.0,2018-09-23 14:55:31,2020-11-04 10:36:50,0.0,0.0,"Hi if you’re a Trump supporter please unfollow me, my account is not a place for Trump supporter",Twitter for iPhone,[]
olatoya_,i want the world and everything in it.,Total Drama Island,207.0,150.0,2572.0,2020-05-26 12:49:49,2020-11-04 10:36:50,0.0,0.0,how much y'all wanna bet that's what trump called that meeting in the middle of the night for a few days ago https://t.co/hg09i5PeUi,Twitter Web App,[]
4ever_are,"I'm an evangelical. Not much more you need to know.

Actually scratch the nothing else to know thing, I realize I'm also a BIG Chinese Nationalist. Call me 50c~",,41.0,0.0,294.0,2020-10-21 03:15:33,2020-11-04 10:36:50,0.0,0.0,"@thehill The greatest election of the century so far...
and why does it feel like it ended on a whimper, not a bang?

Of all people, you'd expect Trump to make these votes entertaining....",Twitter Web App,[]
Rada95074108,‏‏في هذا العالم...بائع السعادة ، ليس سَعيد 💜..!,,80.0,245.0,518.0,2018-06-20 14:15:18,2020-11-04 10:36:50,0.0,0.0,@TeamTrump @realDonaldTrump You lose😄,Twitter for Android,[]
TheCryptoMarvel,Made retirement money in 2017 || I trade and invest in magic internet money || If I don’t state ‘no financial advice’ does that mean I’ll be sued? $alts $btc,Crypto Realm,683.0,2815.0,2745.0,2017-09-10 02:14:38,2020-11-04 10:36:50,0.0,0.0,@TulipsNeo Finally somebody hitting the nail on the head! The Trump party have created a cult obvious to the entire population in existence EXCEPT Americans that support Trump,Twitter for iPhone,[]
xflamingweebx,Your local meme dealer,,103.0,3.0,45.0,2016-01-27 02:46:39,2020-11-04 10:36:50,0.0,0.0,"@ImNotHayze @MrCuIIen @Jack_Septic_Eye Yes, trump did say that. But it’s only to get them on his side, Just like everything else he does. Trump doesn’t support lgbt or anything like that despite what he said.",Twitter for iPhone,[]
ImmaBlueDot,Dems&Libs don't love 😷 either. We care about getting the damn virus controlled so we can ALL go back to normal. Humanist #PitbullMom #AdoptDontShop #GunControl,#PA13 #BidenHarris #DemCast,25746.0,25083.0,88003.0,2011-11-08 03:34:34,2020-11-04 10:36:50,0.0,0.0,"@babby_hull @_donsante @JoyceWhiteVance PA won in court last wk to allow ballots post marked by 11/3 to be counted as long as recd by 11/6. The catch, officials were told to count those votes but segregate the ballots in case GOP sued again &amp; wins. In that case, those votes are trashed. trump knows. He's the one suing.",Twitter for Android,[]
Alabidowu,"https://t.co/AyOb287pg1
1) Stating topic for: 
(x - y)² + 2xy  
and writing it as a justifiable equation. 
2) Proving & restating:
(x - y)² - x² - y² + 2xy = 0","Port Harcourt, NG",915.0,58.0,4261.0,2013-07-19 04:40:14,2020-11-04 10:36:50,0.0,0.0,"Current Electoral College Prediction Shows President Trump Beating Sleepy Joe Biden By More than Crooked Hillary
 https://t.co/D09IeRD3gz",Twitter for Android,[]
AmparoNakagawa2,,Earth ,267.0,61.0,3559.0,2018-02-19 03:36:54,2020-11-04 10:36:50,0.0,0.0,"@realDonaldTrump- 🤡sore loser!
#BidenHarris2020🇺🇸 https://t.co/L713h4pzki",Twitter for iPhone,"[{'text': 'BidenHarris2020', 'indices': [31, 47]}]"
thenewssheep,Graze on the News around Us,,51.0,54.0,7668.0,2020-01-13 19:10:01,2020-11-04 10:36:50,0.0,0.0,"Donald Trump says he’ll take the presidential election to the Supreme Court, but it’s unclear what he means in a country in which vote tabulations routinely continue beyond #ElectionDay, and states largely set the rules for when the count has to end. https://t.co/fWCU6voUVj",IFTTT,"[{'text': 'ElectionDay', 'indices': [173, 185]}]"
EpicRendezvous,✨ ‘She was a character I very definitely worked always to protect’ - JMS on Kala in rel to her being destroyed in 2x12. ✨,United Kingdom,1141.0,1262.0,80811.0,2015-11-08 22:02:05,2020-11-04 10:36:50,0.0,0.0,I swear if trump wins,Twitter for iPhone,[]
LukeDuncanB,Views are my own and not my employer.,,14.0,24.0,2736.0,2018-01-09 08:21:41,2020-11-04 10:36:50,0.0,0.0,"@bowdbow @DavidGauke I get you want to reject the same old same old, but Trump cannot be what you have in mind?",Twitter for Android,[]
dmc_mufc1,One Love One Life MUFC! @manutd season ticket holder 🔴⚫️ #TRA 🇾🇪,"Limavady, Northern Ireland",737.0,149.0,1107.0,2017-10-26 00:42:23,2020-11-04 10:36:50,0.0,0.0,I'm currently outside the White House selling Biden/Trump half-and-half scarves      #USElection,Twitter for iPhone,"[{'text': 'USElection', 'indices': [85, 96]}]"
Sayjack41,"Paramedic, guitar playing outdoor enthusiast. Proud father who recently became a Gramps. Chronic pain sufferer from hauling bodies all his life. 🤣",Greater Sudbury / Grand Sudbur,230.0,123.0,3137.0,2017-01-27 19:16:54,2020-11-04 10:36:50,0.0,0.0,@VABVOX The fact that so many Americans voted for tRump is more troubling to me then the chance he might get in. Biden needed a blow out and it didn’t happen. People vote along party lines and we’ve see it for 4 years now. Donnie isn’t the problem he’s only a figure. ✌️🤛,Twitter for iPhone,[]
StanleySallee2,,,4.0,0.0,29.0,2020-11-04 05:59:37,2020-11-04 10:36:50,0.0,0.0,@realDonaldTrump #you ware right about the protest.,Twitter for Android,"[{'text': 'you', 'indices': [17, 21]}]"
bugeyedcreature,"Writer of things, drawer of stuff.",England,668.0,414.0,8665.0,2010-11-24 21:03:35,2020-11-04 10:36:50,0.0,0.0,@OblomovStan @AyoCaesar Ah. It's the visibility of women and women of colour within the party that's the issue? And presumably BLM and discussions about the objective reality of racism. How come the Proud Boys haven't undermined Trump? Should we pander to the fascist vote? We do need SOME principles.,Twitter Web App,[]
Aimstronk,,,18.0,0.0,2.0,2017-04-29 17:41:26,2020-11-04 10:36:50,0.0,0.0,"@myburneraccou11 @TeamTrump @realDonaldTrump No, you",Twitter Web App,[]
